Ticker,Company,MarketCap_INR,Sector,Industry,Avg_Daily_Volume,Avg_Traded_Value_INR,Median_Traded_Value_INR,Liquidity_StdDev,Trading_Frequency,MarketCap_Cr,Avg_Traded_Value_Cr,Median_Traded_Value_Cr,MarketCap_Share,MarketCap_Percentile,Liquidity_Share,Liquidity_Percentile,Liquidity_Stability
RELIANCE,Reliance Industries,20916559937536,Energy,Oil & Gas Refining & Marketing,11172429.75502008,15358191301.905245,13932414638.614746,6633273232.40056,0.988095238095238,2091655.9937536,1535.8191301905242,1393.2414638614746,0.10034453942620737,1.0,0.056251510466379794,0.98,0.4319045844661198
HDFCBANK,HDFC Bank,15256846860288,Financial Services,Banks - Regional,19915111.04016064,18742591504.19999,17143736441.57837,7614978909.326234,0.988095238095238,1525684.6860288,1874.2591504199988,1714.373644157837,0.07319278484911915,0.98,0.06864734664652841,1.0,0.40629274279492295
BHARTIARTL,Bharti Airtel,12679192248320,Communication Services,Telecom Services,6793639.97188755,12728620260.551285,9649114689.914062,18548884953.95074,0.988095238095238,1267919.224832,1272.8620260551284,964.9114689914062,0.060826814268383295,0.96,0.04662034101112879,0.92,1.4572580982274803
TCS,Tata Consultancy Services,11764211122176,Technology,Information Technology Services,2661437.1004016064,8936894870.932354,8222602766.529785,4257591349.095102,0.988095238095238,1176421.1122176,893.6894870932354,822.2602766529785,0.05643730853891448,0.94,0.0327326197132877,0.88,0.47640611315045295
ICICIBANK,ICICI Bank,9605499322368,Financial Services,Banks - Regional,10349092.775100404,14117864642.642834,12529347474.21753,7200615751.913867,0.988095238095238,960549.9322368,1411.7864642642833,1252.934747421753,0.04608116288434512,0.92,0.051708641668634446,0.96,0.5100357549940305
SBIN,State Bank of India,8908007538688,Financial Services,Banks - Regional,10542177.465863451,8654033304.519352,7602800827.60437,4331401632.298757,0.988095238095238,890800.7538688,865.4033304519352,760.280082760437,0.04273503464930332,0.9,0.03169659990790581,0.86,0.5005066978465164
INFY,Infosys,6653759455232,Technology,Information Technology Services,7680343.048192771,12146905421.335922,11388906770.99414,5432481757.435102,0.988095238095238,665375.9455232,1214.6905421335923,1138.890677099414,0.03192056580919204,0.88,0.04448972955283083,0.9,0.44723174907520075
BAJFINANCE,Bajaj Finance,6202704527360,Financial Services,Credit Services,9492753.144578312,8546255936.756877,6896111214.599609,5452667084.7915125,0.988095238095238,620270.452736,854.6255936756877,689.6111214599609,0.029756687086859034,0.86,0.031301850317179095,0.84,0.6380182298706917
LT,Larsen & Toubro,5555558547456,Industrials,Engineering & Construction,1846299.313253012,6593458164.340103,5672150316.627441,3527577158.909852,0.988095238095238,555555.8547456,659.3458164340103,567.2150316627442,0.0266520864503818,0.84,0.024149457032417873,0.72,0.5350116844584399
HINDUNILVR,Hindustan Unilever,5388424445952,Consumer Defensive,Household & Personal Products,1698609.5220883535,4083509152.272312,3393987072.0,2353779339.036973,0.988095238095238,538842.4445952,408.3509152272312,339.3987072,0.025850281828210857,0.82,0.014956419887158718,0.54,0.5764109375700034
