Ticker,Pct Time Above 200EMA,Longest Uptrend (Days),Avg Correction,Trend Breaks,EMA 200 Slope
MAXHEALTH,0.9635922330097088,470,-0.08298346924758858,11,0.8440198815107987
BEL,0.9619741100323624,447,-0.07599786185837254,10,0.27157066982455513
APOLLOHOSP,0.8689320388349514,319,-0.1203244911827162,15,3.7531181798835833
SHRIRAMFIN,0.7880258899676376,435,-0.12853873536293106,23,0.3926196528129576
INDIGO,0.7807443365695793,378,-0.10654691889915376,28,3.0952501650892446
TRENT,0.7702265372168284,445,-0.14395135864963063,23,4.9587673819516676
TATACONSUM,0.7305825242718447,356,-0.1022564335413635,26,0.45519491174164733
ADANIENT,0.68042071197411,518,-0.2709072267382322,25,1.7141928913221294
JIOFIN,0.632404181184669,141,-0.17422201409121138,16,0.10048509563718257
ETERNAL,0.6203358208955224,395,-0.30556709652314445,21,0.16708335286330364
TMPV,0.40425531914893614,19,-0.10873780460108246,1,-0.14437488840734758
